station,year,month,month_start,n_days,mean_dwpf,sd_dwpf,p10_dwpf,p25_dwpf,p50_dwpf,p75_dwpf,p90_dwpf,min_dwpf,max_dwpf
CLL,2024,9,2024-09-01,30,68.1,7.761,55.9,63.0,72.0,73.75,74.1,51.0,77.0
CLL,2024,10,2024-10-01,31,59.774,9.67,48.0,53.5,63.0,66.0,70.0,34.0,75.0
CLL,2024,11,2024-11-01,30,53.3,13.494,35.6,41.25,53.5,67.25,71.1,31.0,72.0
CLL,2024,12,2024-12-01,31,48.548,12.657,33.0,38.0,50.0,58.0,66.0,27.0,69.0
CLL,2025,1,2025-01-01,31,34.0,15.297,16.0,22.5,33.0,41.0,55.0,9.0,68.0
CLL,2025,2,2025-02-01,28,44.357,15.699,24.5,32.75,47.5,52.5,65.3,13.0,67.0
CLL,2025,3,2025-03-01,31,52.258,12.77,34.0,42.5,55.0,63.0,67.0,26.0,69.0
CLL,2025,4,2025-04-01,30,61.233,11.255,42.7,55.5,64.5,70.0,71.1,35.0,73.0
CLL,2025,5,2025-05-01,31,66.806,7.859,56.0,59.5,69.0,74.0,75.0,50.0,77.0
CLL,2025,6,2025-06-01,28,74.143,2.43,70.7,73.0,75.0,76.0,76.3,68.0,78.0
CLL,2025,7,2025-07-01,28,74.071,2.956,71.7,73.0,75.0,76.0,77.0,64.0,77.0
CLL,2025,8,2025-08-01,31,72.839,1.635,71.0,72.0,73.0,74.0,75.0,69.0,75.0
CLL,2025,9,2025-09-01,30,66.867,5.935,58.0,61.0,68.0,71.75,73.1,57.0,77.0
CLL,2025,10,2025-10-01,31,59.452,9.323,46.0,55.5,62.0,66.5,68.0,35.0,72.0
CLL,2025,11,2025-11-01,30,52.6,13.082,35.7,46.25,52.0,62.5,69.1,25.0,70.0
CLL,2025,12,2025-12-01,31,45.742,16.872,22.0,33.5,47.0,61.5,66.0,15.0,68.0
CLL,2026,1,2026-01-01,31,37.097,16.564,18.0,23.5,34.0,52.0,58.0,14.0,67.0
CLL,2026,2,2026-02-01,28,46.143,13.975,29.4,35.0,46.5,57.5,61.3,13.0,66.0
CLL,2026,3,2026-03-01,31,55.387,14.037,37.0,48.5,62.0,65.0,67.0,18.0,69.0
CLL,2026,4,2026-04-01,30,63.233,10.044,46.6,61.75,67.5,69.0,72.1,41.0,73.0
CLL,2026,5,2026-05-01,31,64.774,6.652,55.0,62.0,66.0,69.5,72.0,48.0,74.0
CLL,2026,6,2026-06-01,30,74.5,2.286,71.9,74.0,75.0,76.0,77.0,67.0,78.0
CLL,2026,7,2026-07-01,31,74.097,1.35,72.0,73.0,74.0,75.0,76.0,71.0,76.0
CLL,2026,8,2026-08-01,30,73.333,3.1,69.9,72.25,74.0,76.0,76.0,62.0,77.0
